field,category,data_type,normalized_unit,nullable,definition,validation,available_observations
status,barriers,string_or_date,,True,status; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
tender_reference,procurement_progress,string_or_date,,True,tender reference; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
contractor_name,procurement_progress,string_or_date,text,True,contractor name; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,1
contract_value,procurement_progress,string_or_date,,True,contract value; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
physical_progress,procurement_progress,number,%,True,Construction progress; never substituted for acquisition progress.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,2
financial_progress,procurement_progress,number,%,True,financial progress; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,1
construction_status,procurement_progress,string_or_date,,True,construction status; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
completion_target,procurement_progress,string_or_date,text,True,completion target; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,2
delay,procurement_progress,string_or_date,,True,delay; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
EOT,procurement_progress,string_or_date,,True,EOT; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
hindrance,procurement_progress,string_or_date,,True,hindrance; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,0
constructed_length_km,additional_source_specific,number,km,True,constructed length km; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,3
government_land_allotted_ha,additional_source_specific,number,ha,True,government land allotted ha; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,1
compensation_budget_inr,additional_source_specific,number,INR,True,"Planned compensation/R&R budget, not payment achieved.",Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,2
RR_budget_inr,additional_source_specific,number,INR,True,RR budget inr; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,1
station_count,additional_source_specific,number,count,True,station count; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,2
awarded_length_km,additional_source_specific,number,km,True,awarded length km; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,1
constructed_tunnel_length_km,additional_source_specific,number,km,True,constructed tunnel length km; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,1
forest_diversion_area_ha,additional_source_specific,number,ha,True,"Forest area in a specified proposal/clearance, not total acquired land.",Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,1
row_available_pct,additional_source_specific,number,%,True,row available pct; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,1
affected_villages_count,additional_source_specific,number,count,True,affected villages count; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,383
land_to_be_purchased_ha,additional_source_specific,number,ha,True,Area proposed for purchase; distinct from all land required or resumption land.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,383
land_to_be_resumed_ha,additional_source_specific,number,ha,True,land to be resumed ha; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,383
sale_deeds_count,additional_source_specific,number,count,True,sale deeds count; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,383
land_purchased_ha,additional_source_specific,number,ha,True,land purchased ha; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,383
farmers_count,additional_source_specific,number,count,True,farmers count; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,383
land_resumed_exchanged_ha,additional_source_specific,number,ha,True,land resumed exchanged ha; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,383
purchase_progress_pct,additional_source_specific,number,%,True,Reported purchased area divided by source purchase requirement; not total acquisition progress.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,383
land_purchase_remaining_ha,additional_source_specific,number,ha,True,land purchase remaining ha; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,383
rainfall_normal_mm,additional_source_specific,number,mm,True,rainfall normal mm; preserve the exact source scope and measurement basis.,Missing is blank CSV / null JSON; require source reference. Dates require explicit parsing. Percent completion 0..100.,20
entity_id,provenance_and_scope,string_or_boolean,,True,Local scoped entity identifier; not an official package number.,Required where applicable; never infer a missing identifier.,
parent_entity_id,provenance_and_scope,string_or_boolean,,True,Parent project/programme; prevents programme aggregation into parcel facts.,Required where applicable; never infer a missing identifier.,
source_id,provenance_and_scope,string_or_boolean,,True,Stable collection source identifier.,Required where applicable; never infer a missing identifier.,
source_sha256,provenance_and_scope,string_or_boolean,,True,SHA256 of downloaded raw source bytes.,Required where applicable; never infer a missing identifier.,
source_reference,provenance_and_scope,string_or_boolean,,True,"PDF one-based physical page/table/row, HTML table/row or JSON pointer.",Required where applicable; never infer a missing identifier.,
value_original,provenance_and_scope,string_or_boolean,,True,Original reported value before unit conversion.,Required where applicable; never infer a missing identifier.,
unit_original,provenance_and_scope,string_or_boolean,,True,Explicit source unit; unknown units must not be guessed.,Required where applicable; never infer a missing identifier.,
value_normalized,provenance_and_scope,string_or_boolean,,True,Converted numeric value or preserved category.,Required where applicable; never infer a missing identifier.,
measurement_type,provenance_and_scope,string_or_boolean,,True,"Reported actual, requirement, planned estimate, daily or cumulative context.",Required where applicable; never infer a missing identifier.,
land_tenure,provenance_and_scope,string_or_boolean,,True,Separates government/private and temporary/permanent scope.,Required where applicable; never infer a missing identifier.,
observation_period,provenance_and_scope,string_or_boolean,,True,Temporal coverage of the measurement.,Required where applicable; never infer a missing identifier.,
observation_date_original,provenance_and_scope,string_or_boolean,,True,Preserved source date token.,Required where applicable; never infer a missing identifier.,
date_precision,provenance_and_scope,string_or_boolean,,True,Day/month/year/missing/review_required; no invented day.,Required where applicable; never infer a missing identifier.,
confidence,provenance_and_scope,string_or_boolean,,True,"Heuristic evidence-review score, not statistical probability.",Required where applicable; never infer a missing identifier.,
conflict_flag,provenance_and_scope,string_or_boolean,,True,True for unresolved same-scope/time/value disagreement.,Required where applicable; never infer a missing identifier.,
ml_eligible,provenance_and_scope,string_or_boolean,,True,"False until feature assembly, temporal checks and target verification.",Required where applicable; never infer a missing identifier.,
verification_status,provenance_and_scope,string_or_boolean,,True,"official, verified_manual, public_snapshot, inferred, missing, stale, review_required.",Required where applicable; never infer a missing identifier.,
identity_status,provenance_and_scope,string_or_boolean,,True,Independent project-match state; official hosting does not establish identity.,Required where applicable; never infer a missing identifier.,
