page,reference,text
23,PDF page 23,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
  Draft Detailed Project Report | Revision No. 0 | Page | 3  
 
 
a mechanism for a better snow clearance tec hniques. The chapter recommends the following techniques 
based on the intensity of snowfall:- 
• Snow plowing 
• Snow Blowing 
• Graders 
• Salt and sand spreaders 
• Anti-skid Treatments 
The chapter also suggests an intelligent winter management using Road Weather Information System 
(RWIS) and setting a Winter Road Quality Standard. 
 
 
  "
24,PDF page 24,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
  Draft Detailed Project Report | Revision No. 0 | Page | 4  
 
 
1 CHAPTER – 1 PROJECT PREPARATION 
1.1 BACKGROUND OF THE PROJECT 
The National Highways & Infrastructure Development Corporation Limited (NHIDCL) has been entrusted with 
the assignment of preparation of Detailed Project Report and providing Pre-Construction Activities:-  
(i) For construction of Approach Roads with Avalanche Protection Works to West and East portal of 
the proposed Zojila Tunnel (between Baltal and Minamarg) from Km 82.000 to Km 95.000 on 
Srinagar-Leh Road (NH-1) and; 
(ii) For making the NH-1 from Z-Morh Tunnel to proposed Zojila Tunnel (approx. 20 km) all weather 
road in the State of Jammu & Kashmir. 
1.2 CONSULTANCY APPOINTMENT 
M/s SMEC International Pty. Ltd has been appointed as Consultants vide letter no NHIDCL/J&K/Zojila 
Tunnel- Approach Road/DPR/NH -1/2017/454 dated 28 th March 2018  to carry out the Detailed Project 
Report (DPR) for all weather road with 2 lane with paved shoulder configuration from the Eastern Portal of 
the Z-Morh Tunnel at km 82.00 to the western portal of the Zojila Tunnel near Baltal Camp and approach 
road to eastern portal of the Zojila Tunnel wi th take off point at existing NH -1 at Km 118.00 in the State of 
Jammu & Kashmir. The contract with NHIDCL was signed on 1st May 2018. 
This submission of DPR is for Construction of approach roads (Approach road 1 (Length 8.05 Km) from Design 
Ch.9+760 to Design Ch. 17+814 (Western Portal of proposed Zojila Tunnel) on Srinagar‐Leh road (NH‐1) )& 
Approach road 2 (Length 0.66 Km)- Design Ch. 0+000 (Eastern Portal of proposed Zojila Tunnel) to Ch. 0+660 
(Existing km 118.00 on NH-1)) to East and West Portal of Proposed  Zojila Tunnel  with Avalanche Protection 
Works (15nos.),01no. Major bridge (135.80 m) in the UT of Jammu & Kashmir and Ladakh. 
An index Map of the project corridor is shown in Figure 1-1 Index Map 
 
 
Figure 1-1 Index Map 
"
25,PDF page 25,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
  Draft Detailed Project Report | Revision No. 0 | Page | 5  
 
 
2 CHAPTER–2: PROJECT ROAD DESCRIPTION  
 
The project road length is around 8.71 km. It consists of 2 sections. First Section starts from km 82.000 of 
NH-1 after the bridge linking Eastern Portal of Z -Morh tunnel to NH -1 at km 82.000 and ends at Western 
Portal of the proposed Zojila Tunnel near Baltal Camp. This stretch of road lies in Ganderbal district.  The road 
passes through Sonamarg Urban area and Baltal Base Camp. Second Section comprises of connecting the 
eastern portal of the Zojila Tunnel to NH-1 with take off point at existing Km 118. Generally, the existing road 
is of two lane configuration. A brief description of road project is as follows: 
2.1 EXISITNG ROAD ALIGNMENT 
The project road comprises of new construction of road and no existing road improvement is proposed.two 
sections. Project road length is 8.71 Km proposed for Two Lane with Paved Shoulder Configuration 
comprising of two sections.  
Length of Approach Road-1 (Approach to Zojila Western Portal) is 8.054 Km. Approach Road-1 falls in the UT 
of Jammu & Kashmir in Ganderbal D istrict. 8 nos. of Cut & Cover Sections, 2 nos. of Snow Galleries and 16 
nos. of Avalanche Protection Dams are proposed to protect the proposed road from avalanches.  
Approach Road -2 starts at proposed Eastern Portal of Zojila Tunnel and ends near km 118.0 00 at NH -1. 
Alignment is entirely new construction and length of the alignment is 660m. Approach Road -2 falls in UT of 
Ladakh in Kargil District. 
This Proposed new alignment will act as an alternative to the existing NH -1 and will provide an all -weather 
connectivity to the proposed Zojila Tunnel. Also, there will be minimal traffic hassles during construction 
considering huge amount of traffic due to Military Convoy Movement and Amarnath Yatra during summers. 
The proposed road is of 2-lane with paved shoulder configuration with additional snow storage lane. 
a) Land use pattern along the alignment 
The land use pattern along the project road is mainly forest with few patches of barren and agricultural land.  
2.2 GEOLOGY, ROCK AND SOIL 
 
The area of proposed project area comprises of lower reaches having a moderate physiography except that 
of north of Sindh river which has a rugged terrain. The Major portion of the area is covered by alluvium and 
karewa deposits cover the remaining area leaving very small portion occupied by Triassic limestone and other 
formations of the older age. The main litho units exposed are traps, states, quartzites, limestones and shales 
besides the alluvium and karewa clays. 
2.3 CLIMATE 
Given its high altitude and mountainous terrain, Sonamarg is a locality that experiences the regionally 
rare humid continental climate (Köppen: Dfb) with significant rainfall. The average temperature in Sonamarg 
is 6.5 °C, and nearly 932 mm of precipitation falls annually (not counting the heavy snowfall that occasionally 
falls on the valley floor during winter).  
The existing Srinagar -Leh highway between Z -Morh and the proposed Zojila tunnel portal at Baltal road 
remains closed for almost six months due to severe winter conditions that entail heavy snow falls and snow 
avalanches. "
26,PDF page 26,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
  Draft Detailed Project Report | Revision No. 0 | Page | 6  
 
 
2.4 ALTITUDE:  
The altitude of the proposed project area ranges from 2800 to 3300 m. 
2.5 PRECIPITATION:  
The tract receives most its precipitation in the form of snow as early as November and the peaks remain 
snow-capped during most of the time of the year. The rainfall varies considerably depending upon the 
elevation and proximity to the hills. The maximum precipitation is received by the area during the winter and 
spring months in the form of sno w and rain respectively. The Pir Panjal Mountan range acting as a lofty 
barrier, Scidom allows any monsoon from plains to cross in to the valley and therefore summer months are 
practically dry. The annual rainfall is approximately 676 mm. 
2.6 WATER SUPPLY 
The status of water supply is variable throughout the proposed project area and also with change in season. 
The high mountainous ranges remain usually bound for the major part of the year. The snow, which melt 
during summer release enough water for the perennial nallahs. 
2.7 DEMOGRAPHY 
Sonamarg has no permanent settlement and is inaccessible during winter due to heavy snowfall and 
avalanches. At the 2011 India  census, Sonamarg had a population of 392, excluding tourists and those 
working in the tourism industry. Males constitute 51% and females constitute 49%. These are the permanent 
residents of Sonamarg though seasonally. 
2.8 TOURISM 
Sonamarg, which means 'meadow of gold' has, as its backdrop, snowy mountains against a cerulean sky. The 
Sindh meanders along here and abounds with trout and mahseer, snow trout can be caught in the main river. 
In late April when Sonamarg is open for road transport, the visitors can have access to snow which is 
furnished all over like a white carpet. Ponies can be hired for the trip up to Thajwas glacier a major attraction 
during the summer months. 
The climate of Sonamarg is very bracing; but the rainfall is frequent though not heavy, except for two or 
three days at a time in July and August with fine spell in between. From Sonamarg, trekking routes lead to
 the Himalayan lakes of  Vishansar Lake , Krishansar Lake , Gangabal Lake  and Gadsar Lake , stocked 
with Snowtrout and Brown trout and Satsar, glacier-fed and surrounded by banks of alpine flowers. 
A close by excursion is to Baltal, 15 km east of Sonamarg. This little valley lies at the foot of the Zojila, only a 
day's journey away from the sacred cave of Amarnath is a base camp for Amarnath yatra. Trekkers can also 
reach the starkly splendid roof-top of the world Leh, by crossing over the Zoji La pass. 
2.9 TERRAIN  
The Project section is primarily lying in Steep/Mountainous terrain. 
2.10 ECOLOGICAL ENVIRONMENT 
a) Forest type: The Major Forest Types in the proposed project area are Montane Temperate Forests, 
Sub Alpine Forest and Alpine Forests groups. "
27,PDF page 27,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
  Draft Detailed Project Report | Revision No. 0 | Page | 2  
 
 
b) Flora: The dominant families in the proposed project area are Rosaceae, Asteraceae, Ranunculaceae, 
Polygonaceae, Poaceae Fabaceae and Pinaceae. However, Pteridophytes and Bryophytes are also 
found in the Proposed project area.  
c) Fauna: Black Bear, Brown bear, Hangul, Fox, Leopard etc. are the main fauna of the proposed project 
area. 
2.11 SEISMICITY 
According to 2014 seismic zoning map of India, the state of Jammu & Kashmir falls in Zone IV & V on the basis 
seismic hazard. The project falls under seismic intensity Zone IV, which is classified as high damage risk zone. 
. 
  
Fig  2-1: Seismic Zone Map of India 
 "
28,PDF page 28,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
 
 Draft Detailed Project Report | Revision No. 0 | Page | 3  
 
3 CHAPTER-3 DESIGN STANDARDS 
3.1 GENERAL 
The design of the road geometry for the assigned project will be cover the following main principles, 
which form the basis of desirable standard of highway design: 
• All weather connectivity to commuters in the snow bound area will be of prime concern in the 
design by taking care of road safety and the smooth flow of traffic.  
• Both horizontal and vertical geometry will be accorded due importance as per selected standards. 
It will not be compromised unless it becomes formidable to accept for the particular situation. 
• Consistent Design will be adopted and abrupt changes in the design speed to be avoided. 
• The proposed  design will minimise the total transportation cost, including initial construction 
costs, costs for the maintenance of the facility and the costs borne by the road users. 
• “Ruling” standards will be adopted and “Minimum” standards will be allowed only where serious 
restrictions are imposed by technical or economic considerations.  
3.2 BASIS OF DESIGN 
• Geometric Design 
• Pavement Design 
• Drainage 
• Cross drainage Works and Structures 
• Avalanche Protection Work and Protection works on Hill side and valley side 
3.2.1 GEOMETRIC DESIGN 
Geometric design standards have been laid down keeping the above in view. The project road lies in 
mountainous and steep terrain. The geometric design will be mainly prepared based on IRC: SP:48-
1998 “Hill Road” and IRC SP:73-2018 besides adopting relevant standards from IRC SP:23 - Vertical 
Curves for Highways, IRC:73-Geometric Design Standard of Rural (Non-Urban) Highway. 
3.2.2 TERRAIN CLASSIFICATION 
The project road lies in mountainous and steep terrain. However certain length of project road lies in 
rolling terrain.  The geometric standards relevant to mountainous a nd steep terrain as contained in 
IRC: 73-1980 has been adopted and other relevant IRC standards and codes regarding bridges and 
other parameters has been adopted. "
29,PDF page 29,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
 
 Draft Detailed Project Report | Revision No. 0 | Page | 4  
 
Table 3-1: Terrain classification for the roads based on per cent cross slope of the country 
 
Terrain classification Percent cross slope of the country 
Plain 0-10 
Rolling >10-25 
Mountainous > 25-60 
Steep > 60 
 
The Table below indicates the Terrain classification considered for existing road length which is being 
improved for Lane section as per proposed widening scheme for the project road.  
Table 3-2: Terrain Classification 
 
Stretch Design Ch. 
Length (in m) Type of Terrain 
From To 
  
Approach Road 1 0 17814 17814 Mountainous/Steep 
 
 Approach Road 2 0 660 660 Mountainous/Steep 
 
3.2.3 DESIGN SPEED 
It is the basic parameter, which determines all other geometric design features. The adopted design 
speed for this project is 50 km/hr to 8 0 km/hr.  Where the site conditions or economic 
considerations do not permit the ruling design speed, same will be re viewed in consultation with 
the Client.  The minimum design speed for National Highways in mountainous terrain is 40 km/hr 
and steep terrain 30 km/hr as stipulated in IRC:SP 48-1998. 
Table 3-3: Design Speed 
TABLE 1. NAME 
OF 
TERRAIN 
TABLE 2. CROSS 
SLOPE OF 
THE 
COUNTRY 
(%) 
TABLE 3. DESIGN SPEED (KM/HR) 
TABLE 4. RULING TABLE 5. MINIMUM 
Mountainous 25-60 50 40 
Steep >60 40 30 
 
3.2.4 SIGHT DISTANCE 
i) The Project Highway is designed for stopping sight distance. Wherever feasible, intermediate 
sight distance in as much length of the road as possible, are attempted. Traffic signs depicting 
“Overtaking Prohibited” is recommended at all locations wherever stopping sight distance is 
provided. 
ii) The recommended sight distances for various speeds are given in Table below. "
30,PDF page 30,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
 
 Draft Detailed Project Report | Revision No. 0 | Page | 5  
 
Table 3-4: Sight Distances for Various Speeds 
Speed(km/hr) Stopping sight distance (m) Intermediate sight distance (m) 
20 20 40 
25 25 50 
30 30 60 
35 40 80 
40 45 90 
50 60 120 
iii) Where horizontal and summit curves overlap, the design provides for the required sight 
distance, both in the vertical direction, along the pavement and in the horizontal direction on 
the inner side of curve. 
3.2.5 WIDTH OF ROAD LAND (ROW), ROADWAY, CARRIAGEWAY AND SHOULDERS RIGHT OF 
WAY (ROW) 
The desirable Right of Way for Non -urban & Urban areas is kept as given in table below, as 
prescribed in IRC:73& IRC:86 road are given in Table below. 
 
Table 3-5: Desirable Road Land Widths (metres)/ROW) 
NAME CROSS SLOPE OF 
THE COUNTRY (%) 
MOUNTAINOUS AND STEEP TERRAIN 
OPEN AREAS BUILT-UP AREA 
NORMAL EXCEPTIONAL NORMAL EXCEPTIONAL 
1. National and 
State Highways 24 18 20 18 
 
Proposed right of way has been ascertained by the client based on cut/fill slopes in rural sections 
including landslide locations, portal locations and minimum formation width required.  As the entire 
road is in new construction, PROW is 40m for Approach Road-1 and 24m for Approach Road-2. 
Buffer Area: If the available right of way is sufficient, a buffer area between the curb and sidewalk is 
desirable. This area provides space for snow storage and allows for a greater separation between 
vehicle and pedestrian. The buffer area should be at least 5 ft wide to be effective and should desirably 
be wider. Although occasionally unavoidable, placing roadside appurtenances within the buffer area 
is undesirable. The proximity to the traveled way increases the likelihood of a vehicle/fixed -object 
crash. (Source: Adopted from Indiana Design Manual 2013, chapter 45 cross section elements). 
Keeping above factors in consideration, the Proposed Right of Way (PROW) is kept 20-40m. Additional 
PROW is kept to accommodate avalanche protection measures.  
Lane Width 
The standard lane width of the Project Highway is 3.5 m 
Extra Width of Carriageway "
31,PDF page 31,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
 
 Draft Detailed Project Report | Revision No. 0 | Page | 6  
 
Existing geometry is  poor at some locations with des ign speed even going as low as 2 0 Kmph and 
radius upto 30 m. Extra widening is proposed as per Table 10 of IRC 52 ""Recommendations about the 
Alignment survey and Geometric design of Hill roads"". 
The additional width of paved carriageway is accommodated within formation width road width as 
per applicable Typical cross section, by reduction in Earthen shoulder width 
 
Table 3-6: Widening of Pavement at curves 
RADIUS OF 
CURVE IN M) 
UPTO 20 21 to 
40 
41 to 60 61 to 
100 
101 to 
300 
Above 
300 
Extra width 
(m) Two lane 
1.5  1.5 1.2 0.9 0.6 Nil 
 
Shoulders  
The shoulder width is as per IRC SP 73 2015 is given in table below, subjected to availability of land. 
 
Table 3-7: Shoulder Width 
TYPE OF SECTION 
Mountainous and Steep terrain (Hilly area) 
 Paved Earthen Total 
Open Country with Isolated Built up 
area 
Hill Side 1.5 m - 1.5m 
Valley 
side 
1.5m 1.0m 
(in mild 
terrain) 
2.5m 
Built up area and approaches to 
grade separated structures/bridges 
Hill Side 1.5m 
(Raised) 
- 1.5m 
 Valley 
side 
1.5m 
(Raised) 
- 1.5m 
 
• A shoulder rumble strip is a raised or grooved pattern in the pavement surface of the shoulder. 
The raised rumble strip is not as desirable as the grooved type because of snow clearing 
operations. Grooved rumble strips are indented into the pavement of the  shoulder of the 
roadway. In summer, grooved rumble strips are self -cleaned by highway traffic. In winter, 
even covered with snow the shoulder rumble strips still produce an effective humming noise 
when traversed by errant vehicles. (Source: Adopted from G eometric Design Guide for 
Canadian Roads 2011, chapter 2.2 cross section and roadside elements). 
• Paved shoulders must be cleared of snow and ice during the winter months in order to 
function properly. Therefore, it is often practical for usable shoulders t o be paved.  (Source: 
Adopted from Mass Highway American Standard 2006,  chapter 5 cross section and roadside 
elements). 
• Apart from the paved shoulder, extra snow storage lane is provided of 1.5m as per “IRC SP 48-
1998” Clause 6.5.2 Note-4. 
3.2.6 ROADWAY WIDTH (FORMATION WIDTH) "
32,PDF page 32,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
 
 Draft Detailed Project Report | Revision No. 0 | Page | 7  
 
Following typical cross sections have been developed for the proposed alignment. 
• Type III - 2-Lane on mild slope terrain -13.4 (7.0m Carriageway + 2x 1.5m Paved shoulder + 
1.5m Snow storage on valley side+ 1.0m Earthern Shoulder on valley si de+0.9m Drain on Hill 
side).   
• Type V - 2-Lane with hill side cut and valley side Metal Beam Crash Barrier -13.65 (7.0m 
Carriageway + 2x 1.5m Paved shoulder+ 1x1.5m Snow Storage on valley side+1.0m Earthen 
Shoulder with Metal Beam crash barrier on valley side +0.9m Drain on Hill side 
• Type VI- 2-Lane New construction on high embankment -13.5 (7.0m Carriageway + 2x 1.5m 
Paved shoulder+ 2x0.75m Snow Storage + 2x1.0m Earthern Shoulder with Metal Beam Crash 
Barrier.   
• Type VIII- 2-Lane New Construction with Both side cut -12.65 (7.0m Carria geway + 2x 1.5m 
Paved shoulder+1x1.5m snow storage with drain+0.9m Drain. 
• Type IX- Cut& Cover 
• Type X- Snow Gallery 
• Type XI- Bridge 
Table 3-8: Cross Section Schedule 
S. 
N
o. 
Design Chainage 
Length 
(m) Type of TCS Description of TCS 
From (km) 
To 
 (km) 
Approach Road 1 
1  9760 9796 36 TCS VIII Both Side Cut 
2  9796 10106 310 TCS IX Cut & Cover 
3  10106 10146 40 TCS VIII Both Side Cut 
4  10146 10276 130 TCS VI High Embankment Section 
5  10276 10506 230 TCS IX Cut & Cover 
6  10506 10566 60 TCS VIII Both Side Cut 
7  10566 11066 500 TCS VI High Embankment Section "
33,PDF page 33,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
 
 Draft Detailed Project Report | Revision No. 0 | Page | 8  
 
S. 
N
o. 
Design Chainage 
Length 
(m) Type of TCS Description of TCS 
From (km) 
To 
 (km) 
8  11066 11256 190 TCS VIII Both Side Cut 
9  11256 11506 250 TCS IX Cut & Cover 
10  11506 11586 80 TCS VIII Both Side Cut 
11  11586 12626 1040 TCS VI High Embankment Section 
12  12626 12806 180 TCS III Mild Slope Terrain 
13  12806 13006 200 TCS VIII Both Side Cut 
14  13006 13406 400 TCS IX Cut & Cover 
15  13406 13486 80 TCS VIII Both Side Cut 
16  13486 13876 390 TCS VI High Embankment Section 
17  13876 13926 50 TCS V 
Hill side gabion wall and 
valeey side Metal Beam 
Crash Barrier 
18  13926 14006 80 TCS VIII Both Side Cut 
19  14006 14356 350 TCS IX Cut & Cover 
20  14356 14446 90 TCS VIII Both Side Cut 
21  14446 14586 140 TCS V 
Hill side gabion wall and 
valeey side Metal Beam 
Crash Barrier 
22  14586 14656 70 TCS VIII Both Side Cut "
34,PDF page 34,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
 
 Draft Detailed Project Report | Revision No. 0 | Page | 9  
 
S. 
N
o. 
Design Chainage 
Length 
(m) Type of TCS Description of TCS 
From (km) 
To 
 (km) 
23  14656 14856 200 TCS IX Cut & Cover 
24  14856 14946 90 TCS VIII Both Side Cut 
25  14946 15036 90 TCS III Mild Slope Terrain 
26  15036 15156 120 TCS VI High Embankment Section 
27  15156 15206 50 TCS V 
Hill side gabion wall and 
valeey side Metal Beam 
Crash Barrier 
28  15206 15306 100 TCS VIII Both Side Cut 
29  15306 15766 460 TCS IX Cut & Cover 
30  15766 15906 140 TCS VIII Both Side Cut 
31  15906 16226 320 TCS III Mild Slope Terrain 
32  16226 16356 130 TCS V 
Hill side gabion wall and 
valeey side Metal Beam 
Crash Barrier 
33  16356 16656 300 TCS X Snow Gallery 
34  16656 16806 150 TCS IX Cut & Cover 
35  16806 16956 150 TCS X Snow Gallery 
36  16956 17172.5 216.5 TCS VI High Embankment Section 
37  17172.5 17307.5 135 TCS XI Bridge "
35,PDF page 35,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads 
with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at 
Zojila East Portal 
 
 Draft Detailed Project Report | Revision No. 0 | Page | 10  
 
S. 
N
o. 
Design Chainage 
Length 
(m) Type of TCS Description of TCS 
From (km) 
To 
 (km) 
38  17307.5 17814.5 507 TCS VI High Embankment Section 
Approach Road 2 
39  0 660 660 TCS VI High Embankment Section 
 "
36,PDF page 36,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila 
Tunnel West Portal and Access Road at Zojila East Portal 
 
Draft Detailed Project Report | Revision No. 0 | Page | 11  
 
 
 
  
 
 
 
 
 
 
 
  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
  
 
 
"
37,PDF page 37,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila 
Tunnel West Portal and Access Road at Zojila East Portal 
 
Draft Detailed Project Report | Revision No. 0 | Page | 12  
 
 
 
 
  
 
 
 
 
  
 
 
 
 
 
 
 
 
 
 
  
"
38,PDF page 38,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila 
Tunnel West Portal and Access Road at Zojila East Portal 
 
Draft Detailed Project Report | Revision No. 0 | Page | 13  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Type IX Cut & Cover Section 
"
39,PDF page 39,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila 
Tunnel West Portal and Access Road at Zojila East Portal 
 
Draft Detailed Project Report | Revision No. 0 | Page | 14  
 
 
 
 
 
 
"
40,PDF page 40,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila 
Tunnel West Portal and Access Road at Zojila East Portal 
 
Draft Detailed Project Report | Revision No. 0 | Page | 15  
 
 
 
 
Type XI Typical Section of Bridge 
 
 
 
 
 
 
 
 
 
 
"
41,PDF page 41,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
 
Draft Detailed Project Report | Revision No. 0 | Page | 16  
 
 
3.2.7 CAMBER / CROSS FALL 
 
i) The camber or crossfall on straight sections of road carriageway and shoulders is be as per Table 
below: 
 
Table 3-9: Camber/Crossfall in percentage for different Surface Types 
TABLE 6. CATEGORY OF 
SURFACE 
Annual Low Rainfall (Less than 
1500 mm) 
Annual High Rainfall (More 
than 1500 mm) 
Bituminous 2.5% 2.5% 
Cement Concrete 2.0% 2.0% 
 
ii) The camber for earthen shoulders on straight portion is at least 0.5 per cent steeper than the slope 
of the pavement and paved shoulder subject to a minimum of 3.0 per cent.  On super elevated 
sections, the shoulders have the same crossfall as the carriageway. 
Desirably, a shoulder cross slope should not be less than 4 percent to minimize ponding on the 
roadway. The shoulder cross slope on the outside of the curve may be constructed in the same 
direction as the adjacent lane. However, consideration should be given to snow storage in border 
area (snow melting in border area then draining and refreezing on roadway surface) by sloping 
the border away from roadway or by providing slotted drainage along shoulder.   (Source: 
Adopted from New Jersey Roadway Design Manual 2015, Section 5 Major cross section elements). 
3.2.8 HORIZONTAL ALIGNMENT 
The Detailed Horizontal alignment has to be fluent and blend well with the topography. We are following 
here the designs a line, which conforms to natural contours, is aesthetically preferable to one with long 
tangents slashing through the terrain. The horizontal alignment should be co ordinate carefully with the 
longitudinal profile. 
Under IRC guidelines, the ruling design speed is 50 Kmph with a minimum design speed of 40 Kmph in 
mountainous  terrain. In rolling terrain it varies from 80 Kmph to 65 Kmph.  
Short curves give appearances of kinks, particularly for small deflection angles, and should be avoided. The 
curves should be sufficiently long and have suitable transitions to provide pleasing appearances. Curve 
length should be 150 meters for a deflection angle of 5 degree and some areas it has been increased by 30 
meters for each degree decrease in the deflection angle. 
The curves in the same direction separated by short tangents known as broken back curves should be 
avoided as far as possible in the interest of aesthetics and safety replaced by single curve. 
In general horizontal curves consist of circular portion of the curve followed by spiral transitions on both 
sides. Design speed, super-elevation and coefficient of friction affect the design of curve. 
3.2.9 GENERAL GUIDELINES "
42,PDF page 42,"Preparation of Detailed Project Report (DPR) and providing Pre-Construction activities in respect of the Approach Roads with 
Avalanche Protection Works in between Z-morh Tunnel East portal to Zojila Tunnel West Portal and Access Road at Zojila East 
Portal 
 
Draft Detailed Project Report | Revision No. 0 | Page | 17  
 
 
i) The alignment should be as directional, fluent and matching well with the surrounding 
topography as possible and also to avoid abrupt changes 
 
ii) On new roads the curves  should  be  designed  to  have  the  largest  practical  radius generally 
not less than the ruling value corresponding to ruling design speed given in Table 2. 
 
iii) Absolute minimum values based on Minimum Design Speed may be us ed where economics of 
construction and site condition so dictates. The radii below the absolute minimum should not 
be provided. 
 
iv) Straight section exceeding 3 km length should be avoided. A curvilinear alignment with long 
curve is better from point of safety and aesthetic. 
 
v) Sharp curves should not be introduced at the end of long tangents, since these can be extremely 
hazardous. 
 
vi) Curve should be sufficiently long and have suitable transition curves at either end to eliminate 
the shock due to application of centrifugal force. For deflection angle less than 1 degree no curve 
is required to be designed. 
 
vii) Reverse curves may be needed in difficult terrain. Sufficient length between two curves shall be 
provided for introduction of requisite transition curve 
 
viii) To avoid distortion in appearance, the alignment should co-ordinate with the longitudinal profile. 
3.2.9.1 Horizontal Curves 
The radius required for horizontal curves shall be calculated from the following formulae 
R =  V2 / 127(e + f) 
Where, 
R  =  Radius in meters 
V  =  Vehicle speed in km/hour 
e  =  Super-elevation ratio in meter/meter 
f  =  Coefficient of side friction between vehicle tyres and the pavement (taken as 0.15) 
The desirable minimum and absolute minimum radii of horizontal curves for various classes of terrain 
as per Hill Road Manual (IRC: SP:48-1998) are given in Table below. 
 
Table 3-10:Minimum Radii of Horizontal Curves 
DESIGN SPEED 
KM/H 
MINIMUM RADIUS (METRE) WHEN SUPERELEVATION IS LIMITED 
TO 
7 Percent 4 Percent 
30 30 40 
50 90 105 
60 130 150 
80 230 265 
 
 
Table 3-11 : Adopted Minimum Radii of Horizontal Curves 
Nature of Terrain Desirable Minimum Absolute Minimum 
Mountainous Terrain 80 m 50 m "
