page,reference,text
11,PDF page 11,"                                                                                          General Consultant for Mumbai Metro Line  
 Updated Social Impact Assessment Report Volume-I 
Table 6.3            Compensation for Landowners 
Table 6.4            Compensation 
Table 6.5            Proposed Carpet Area Matrix for PAPs of Kalbadevi and Girgaon 
Table-7.1  Role of Stakeholders for Implementation of RAP 
Table 8.1  Details about Resettlement Site at Premier, Kurla, West 
Table 8.2 Details about Resettlement Site at Bhandari Metallurgy, Kurla, East 
Table 8.3  Details about Resettlement Site at Chakala, Andheri (East) 
Table 8.4  Details about Resettlement Site at Mahul Village (Industrial) 
Table 8.5 Details about Resettlement Site at Antop Hill, Wadala 
Table 8.6  Details about Resettlement Site at Wonderland, Oshiwara 
Table 8.7 Details about Resettlement Site at Kanjurmarg (East), P-2 
Table 8.8  Details about Resettlement Site at Hariyali Village, Kanjurmarg (East) 
Table 8.9  Details about Resettlement Site at Durga Nagar, Majas 
Table 9.1  RAP Implementation Schedule 
Table 10.1  Cost for Resettlement & Rehabilitation 
Table 11.1  Indicators for Monitoring of RAP Progress 
Table 11.2  Indicators for Project Outcome Evaluation 
LIST OF FIGURES 
NO                 TITLE 
Figure 1.1  Mumbai Metro Master Plan 
Figure 1.2  Proposed Colaba – Bandra – SEEPZ Metro Corridor 
Figure 2.1  Approach and Methodology for SIA 
Figure 7.1  Institutional Framework for Implementation of RAP 
Figure 7.2 Organizational Structure of FLGRC and SLGRC 
Figure 8.1 Resettlement Site at Premier, Kurla (West) 
Figure 8.2 Resettlement Site at Bhandari Metallurgy, Kurla (East) 
Figure 8.3 Resettlement Site at Chakala, Andheri (East) 
Figure 8.4 Resettlement Site at Mahul Village (Industrial) "
12,PDF page 12,"                                                                                          General Consultant for Mumbai Metro Line  
 Updated Social Impact Assessment Report Volume-I 
Figure 8.5 Resettlement Site at Mahul Village (Industrial) 
Figure 8.6 Resettlement Site at Antop Hill, Wadala 
Figure 8.7 Resettlement Site at Wonderland, Oshiwara 
Figure 8.8 Resettlement Site at Kanjurmarg (East), P-2 
Figure 8.9 Typical Layout Plan of Floor 
LIST OF ANNEXURES 
NO  TITLE 
2.1  Public Notification in English 
2.2  Public Notification in Hindi 
2.3  Household Questionnaire 
2.4  Format for Public Consultation 
2.5  Handbill issued to residents 
5.1 to 5.8 Minutes of Public Consultation at Local Level 
5.9  Minutes of Public Hearing at City Level 
5.10-16 Minutes of Public Consultation at Local Level 
5.17 Minutes of Public Consultation of Kalbadevi and Girgaon 
6.1  R&R Policy for MUTP, 2000 
7.1  List of NGOs 
7.2  Draft ToR for R&R Consultant 
7.3  Grievance Redressal Committee Mechanism 
11.1  Format for RAP Implementation 
11.2  ToR for Independent Evaluation Agency 
11.3 Resolution of Board of Directors meeting (MMRCL) held on 6th December, 2014 
 "
13,PDF page 13,"                                                                                          General Consultant for Mumbai Metro Line  
 Updated Social Impact Assessment Report Volume-I 
ABBREVIATION 
APL  Above Poverty Line 
AIDS  Acquired Immunodeficiency Syndrome 
BPL  Below Poverty Line 
BMC  Bombay Municipal Corporation 
BPIP  Borrower’s Project Implementation Plan 
BSES  Baseline Socio-Economic Study  
CPR  Common Property Resources 
CTSO  City Survey Officer 
CRZ  Coastal Regulation Zone 
CRF  Community Revolving Fund 
CEMP  Community Environmental Management Plan 
CBO  Community Based Organization 
DPR  Detailed Project Report 
DC  District Collector 
DRC  Development Rights Certificate 
DMRC  Delhi Metro Rail Corporation 
ESMD  Environmental & Social Management Division 
EIA  Environmental Impact Assessment 
ERG  Economic Rehabilitation Grant 
FGD  Focus Group Discussion 
FSI  Floor Space Index 
GR  Government Resolution 
GOM  Government of Maharashtra 
GRC  Grievance Redress Committee 
GC  General Consultancy 
HIV  Human Immunodeficiency Virus 
ICCP Information and Community Consultation Programme "
14,PDF page 14,"                                                                                          General Consultant for Mumbai Metro Line  
 Updated Social Impact Assessment Report Volume-I 
IEA Independent Evaluation Agency 
JICA  Japan International Cooperation Agency 
SLAO  Special Land Acquisition Officer 
LAA  Land Acquisition Act 
MOUD  Ministry of Urban Development 
MUIP  Mumbai Urban Infrastructure Project 
MMR  Mumbai Metropolitan Region 
MMRDA   Mumbai Metropolitan Region Development Authority 
MMMP   Mumbai Metro Master Plan 
MMRC Mumbai Metro Rail Corporation 
MUTP  Mumbai Urban Transport Project 
MSW  Master in Social Work 
MCGM  Mumbai Corporation of Greater Mumbai 
M&E  Monitoring and Evaluation 
NTH  Non-Title Holder 
NGO  Non-Governmental Organization 
ODA  Official Development Assistance 
PIU  Project Implementation Unit 
PAF  Project Affected Family 
PAP  Project Affected People 
PIC  Public Information Centre 
RAP  Resettlement Action Plan 
ROW Right of Way 
RITES  Rail India Technical and Economic Services 
SC  Scheduled Castes 
ST  Scheduled Tribes 
STD  Sexual Transmitted Disease 
SRA  Slum Rehabilitation Scheme "
15,PDF page 15,"                                                                                          General Consultant for Mumbai Metro Line  
 Updated Social Impact Assessment Report Volume-I 
SDC  Social Development Cell 
SBE  Small Business Enterprise 
SJSRY  Suvarna Jayanti Shahari Rojghar Yojana 
TDR  Transferable Development Rights 
TBM  Tunnel Boring Machine 
TOR  Term of Reference 
TH  Title Holder 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 "
16,PDF page 16,"                                                                                          General Consultant for Mumbai Metro Line  
Page | i  
    Updated Social Impact Assessment Report Volume-I   
PREAMBLE 
 
The Project 
The Government of Maharashtra through Mumbai Metropolitan Region Development Authority 
(MMRDA) has identified metro mode of transport as efficient, economically viable and environmentally 
friendly mass  transport system to meet the future transportation requirement in Mumbai/Mumbai 
Metropolitan Region (MMR). A master plan for Mumbai metro was prepared in 2004 which proposed 
implementation of metro corridors in three phases i.e. Phase I: 2005-2011, Phase II: 2011-2016 and Phase 
III: 2016-2021. MMRDA has carried out DPR studies of all three corridors of Phase-I during 2005-2009 and 
DPRs of four lines of Phase-II & III in 2010. 
 
Project Description 
The length of Colaba -Bandra-SEEPZ corridor is 33.5  km. It wi ll facilitate the commuters to travel from 
South Mumbai to Airport via Mahim-BKC. It will also provide direct access to the economic hubs such as 
BKC, MIDC Industrial Estate, SEEPZ and famous landmarks such as Vidyanagari, Mahalakshmi etc. The 
corridor has  been proposed as fully underground keeping in consideration social and environmental 
aspects. The rail level of the metro line under study is proposed to be kept at least 15 m below ground 
level at station and in tunnel portion. Rock is available at a dep th of 2.10 m to 10.0 m from the ground 
level along the alignment. The rail level will be kept at such level to have a minimum of 6 m rock cushion 
available over the tunnel. This will facilitate to avoid underground utilities and building foundations. Total 
number of stations are 27, out of which 26 are underground, one stations at grade. It has design speed 
95kmph and schedule speed is 35 kmph. Traction system is 25 KV AC, power demand (MVA) is 30-42 MVA 
and receiving substation shall be at Colaba (Science Museum), Aarey and Dharavi. 3.2 m (maximum) wide 
modern rolling stock is with axle load 17t. The seating arrangement is longitudinal for 400 passengers in 
eight coaches train unit. The completion cost except land cost as of DPR 2018 of the project works out to 
₹ 23854.75 crore.  
 
Land Acquisition 
The proposed metro rail project requires land mainly for route alignments of rail tracks, station buildings, 
platforms, entry/exit structures, traffic integration, car shed, power substations, ventilation shafts, 
administrative buildings, property development, maintenance and construction depots at work sites etc. 
For the above purpose the project involves acquisition of 75.89 ha of land has been acquired for the 
purpose of temporary and permanent usages.  
 
Objective of SIA  
The objective of Social Impact Assessment is (i) to prepare a complete inventory of structures, affected 
families and persons, (ii) to identify social impacts and (iii) to prepare Resettlement Action Plan (RAP). The 
SIA includes RAP and is based on an integrated and holistic approach to deal with project impacts and 
aims at rebuilding lives and livelihoods of those affected as quickly as possible.  
 
Study Approach and Methodology 
M/s RITES has conducted a study in 2012 at DPR stage. The alignment and stations were finalized 
subsequently to the preliminary designs. This has necessitated for fresh survey on the alignment and 
station locations.  Census socio -economic survey was conducted in association with M/s Snehal "
17,PDF page 17,"                                                                                          General Consultant for Mumbai Metro Line  
Page | ii  
    Updated Social Impact Assessment Report Volume-I   
Engineering, in the corridor of i mpact zone to identify the affected structures, families/persons and list 
out the adverse impacts of the project. The SIA which includes RAP has been prepared in accordance with 
the JICA guidelines for Environmental and Social Consideration, 2011 and Resettlement and Rehabilitation 
Policy for Mumbai Urban Transport Project, 2000. The methodology adopted to prepare SIA report was 
desk research, site visits and information dissemination, enumeration of structure and mapping, socio -
economic survey, compilation, verification and analysis of data. SIA report prepared by M/s RITES was the 
base for preparing this report. Sections of public consultation at local and City level conducted during 
RITES Study have reproduced in this report. 
 
Impacts and Inventory of Loss 
The project requires acquisition of 75.89 ha of land for construction of different components. Total 2856 
structures have been affected out of which 201 5 are residential, 68 2 commercial, 39 residential cum 
commercial. In addition to this there are 120 other structures affected which consists of 13 public toilets, 
17 religious structures and 90 other type of structures. There are 2736 PAFs found.  
 
Socio-Economic Profile 
The socio-economic survey results indicate that sex ratio is 7 53.93 females per 1000 m ales. Majority of 
the surveyed families are Hindu followed by Muslim. Majority of families ( 46.12%) speak Marathi as 
mother tongue followed by 34.00% who speak Hindi. Majority of surveyed family members are married. 
Majority of families are found as nuclea r. About 79.45% of surveyed people are literate and majority of 
them have studied up to secondary and higher secondary l evel. Average family income is Rs. 9876  per 
month. Majority of affected persons are engaged in private service. People use Auto Rickshaw , Bus and 
Train as mode of travel. 
*Percentages are calculated for each asset against total surveyed PAFs except Girgoan & Kalbadevi 
areas because BSES of those areas did not include the necessary information by M/s. Catapult Reality 
Consultants. 
Public Consultation 
Public consultations were organized during study conducted by M/s RITES at six project affected areas 
namely Girgaon, Acharya Atre Chowk, Dharavi, Santacruz, Marol Naka and MIDC during January -April, 
2012. MMRC had conducted Public Consultations in the areas BKC, Agripada, Sariput Nagar/ Aarey Colony, 
MIDC, Kalbadevi, Girgaon, Sahar (Shanti Nagar), Janata/ Naya Nagar during November 2014 to July 2015. 
About 2042 persons who represent different community and society participated in the consultat ion 
process at community level. In addition to this public consultation was also organized at City level on 11th 
April, 2012 for inviting suggestions and objections from different stakeholders on environment and social 
issues of the proposed project. The m ajor social issues raised by the people were land acquisition, 
demolition of structures, displacement, compensation, job opportunities and relocation of religious places 
and changing of alignment, social amenities at R&R sites, and special scheme for Adivasis. 
 
Apart from the above consultations the MMRC has been conducting Public Consultations for the Kalbadevi 
and Girgaon areas starting from 2014. 
 
Resettlement Policy and Legal Framework 
The Resettlement and Rehabilitation Policy for Mumbai Urban Transport Project, 2000 has been used for 
the purpose of rehabilitation. The policy ensures meaningful consultations with stakeholders in planning "
18,PDF page 18,"                                                                                          General Consultant for Mumbai Metro Line  
Page | iii  
    Updated Social Impact Assessment Report Volume-I   
and implementation of the resettlement program an d make rehabilitation and resettlement plan more 
participatory. Land Acquisition through negotiation shall be done as per the MRTP Act, 1966 under section 
126 1 (a) (b) following the principals of RFCTLARR Act, 2013 (Right to Fair Compensation and Transparency 
in land acquisition rehabilitation and resettlement act, 2013) for compensation and additional 25 % 
incentive for negotiation to expediate process of acquisition will be given. 
 
Institutional Arrangement 
Mumbai Metro Rail Corporation (MMRC) is overall  responsible for implementation of resettlement and 
rehabilitation component of the project. MMRC has coordinated with all implementing agencies like PMC, 
NGO, R&R Implementation Support Consultant and Public Relation Consultant and supervise their work 
and monitor the progress of the project. Land & R&R Department of MMRC has looked after land 
acquisition and rehabilitation activities of the project.  The responsibility of NGO will be assisting MMRC 
in implementation of R&R activities. The implementation of resettlement and rehabilitation activities will 
be monitored through Quarterly Progress Reports (QPR) which will be prepared by MMRC with the 
assistance of consultant. A consultant will be appointed by MMRC to assist in the R&R implementation 
process. The Public Relation Consultant shall coordinate with PR agency in information sharing on the R& 
R activities. Grievance Redress Committee has been formed at field and senior level. Field level GRC has 
addressed grievances relating to individual eligibility a nd entitlements, whereas senior level GRC has 
reviewed decisions of field level GRC on grievance petitions filed by PAP not satisfied with the field level 
verdict. 
 
Relocation and Resettlement Site 
Resettlement requirements for the project is categorized f or Encroachments / Slum Dwellers on public 
land, Legal Title Holders / Occupants of Formal Buildings, Footpath Occupiers / Licensed Stall Holders on 
public land, and Others (Govt.). The finalization for selection of Resettlement site has been taken in 
consultation of PAFs, MMRC officers and other concerned Departments. MMRC has done the 
rehabilitation of Non -titleholder affected families at five locations namely (i) Kurla (west)  - Premier 
compound Building number 10, (ii) Chakala (Building number 1 -2,3, Andheri (East) and (iii) Kanjurmarg 
(Building number P2) (iv) Hariyali Village, Kanjurmarg (East) (v) Durga Nagar, Majas (vi) Antop Hill, Wadala 
which has been developed under Mumbai Urban Infrastructure Project (MUIP). The PAFs losing residential 
and commercial units have been offered tenements as per MUTP R&R Policy.   
 
Implementation Schedule of Land Acquisition and Resettlement Plan 
The R&R activities of the proposed project are divided in to three broad categories based on the stages of 
work and process of implementation. In the project preparation stage, identification of required land for 
acquisition, census & socio-economic survey, public consultation, preparation and review/approval of SIA, 
disclosure of SIA, establishment of GRC and preparation of resettlement site shall be carried out. Activities 
like notification of land acquisition, valuation of structure, payment by competent authority, shifting of 
PAPs shall be taken up during Land Acquisition and Resettlement Plan implementation. During monitoring 
and evaluation stage internal monitoring will be carried out by MMRC and mid and end term evaluation 
will be carried out by an independent evaluation agency.  
 
 "
19,PDF page 19,"                                                                                          General Consultant for Mumbai Metro Line  
Page | iv  
    Updated Social Impact Assessment Report Volume-I   
 
 
Cost Estimate 
The budget is indicative and cost has been updated and adjusted to the infla tion rate as the project 
continues and during implementation. The total cost of proposed metro rail project for resettlement and 
rehabilitation of project affected families would be ₹ 2,11,082 Lacs. 
 
 
 
Monitoring and Evaluation 
Implementation of resettlement action plan has been monitored internally and has been evaluated 
externally. MMRC is responsible for internal monitoring whereas mid and end term evaluation has been 
conducted by independent evaluation consultant. MMRC is res ponsible for supervision and 
implementation of the resettlement and preparing monthly progress reports on resettlement activities. 
Independent Evaluation Consultant has submitted mid and end term evaluation report to MMRC and JICA 
and has been determined w hether resettlement goals have been achieved, more importantly whether 
livelihoods and living standards have been restored/ enhanced and also suggested suitable 
recommendations for improvement. M/s SPARC was appointed for resettlement assistance.  
 
 
 
 
  
 "
20,PDF page 20," 
                                                                                                       General Consultant for Mumbai METRO LINE 3 
Updated Social            Impact Assessment Report (Volume - I)   Page 1
    
CHAPTER-1  INTRODUCTION 
1.1 BACKGROUND 
Mumbai is the economic /commercial capital of India, which is identified by higher growth in economy as 
well as population. Mumbai Metropolitan Region (MMR) is one of the fastest growing metropolitan 
regions in India. MMR covers an area of 4355 sq.km, which includes 8 municipal corporations, 9 municipal 
councils and more than 1000 villages. The pr ojected population of MMR shall be around 34 million, 
however employment opportunities estimated about 15.3 million by year 2031. The increasing population 
requires faster transportation to avoid delay in work and to avoid decongestions in the region. The existing 
transport system of city is not considered capable of bearing the upcoming transportation needs. Thus, 
upgrading transport system is imperative for rapid growth and economic development in Mumbai 
Metropolitan Region (MMR). The expansion of road network in Mumbai is not possible as it requires large 
land acquisition leading to huge displacement of the people. Mumbai desires to be one of the globally 
competitive cities in the world but falls short on several grounds of which transportation inadequacy  is 
the most prominent. The geographic formation of the city makes the expansion of transportation slow 
which does not match with the demand of fast -growing city. In order to improve the overall traffic and 
transportation in Mumbai/Mumbai Metropolitan Region (MMR) and meet the future travel demand, the 
Government of Maharashtra through MMRDA has identified metro mode of transport as efficient, 
economically viable and environmentally friendly mass transport system. MMRDA has proposed metro 
network to meet the transportation requirement with the existing land resource available for present use 
with a nominal land requirement and fewer involuntary displacement. 
In 2004, DMRC had prepared a master plan for development of metro network in Mumbai. The master 
plan proposes total length of 149.97 km for metro network development. It is planned in three phases of 
development, phase-I to be completed during 2005 -2011; phase II to be completed in 2011 -2016; and 
phase III in 2016-2021. Line 1 - Versova –Andheri- Ghatkopar section of metro rail is operational. Line II, 
Charkop-Bandra-Mankhurd section is yet to be started. Line III Colaba-Bandra-SPEEZ, under present study, 
is 33.5 km in length. 
1.2 BENEFITS OF THE PROJECT 
The proposed project corridor shall have direct as w ell as indirect benefits. The proposed project shall 
contribute to reduction in road traffic and road stress, fuel consumption, air pollution, travel time, vehicle 
operating cost, accidents and road maintenance. The proposed metro shall increase mobility a nd 
accessibility to facilitate, increase in economic stimulation in the region, increase in business 
opportunities, improve aesthetics and image of the city. Overall, the proposed project shall change the 
transportation face of MMR. 
1.3 PROJECT DESCRIPTION 
The proposed metro rail will facilitate the commuters to travel from South Mumbai to Airport via Mahim-
BKC. It will also provide direct access to the economic hubs such as BKC, MIDC Industrial Estate, SEEPZ and 
famous landmarks such as Kalina University, Mahalaxmi etc. Table 1.1 has indicated the proposed metro 
rail network lengths for all three phases as per the master plan and amendment plan. Figure 1.1 depicts 
the proposed lines as indicated in the Mumbai Metro Master Plan. The Detailed Project Report for line 3 
(Colaba – Bandra) of Mumbai Metro Phase – 1 was prepared in October 2007 MMRC intends to implement 
Line 3 Colaba – Bandra – SEEPZ which is proposed as fully underground keeping in consideration social 
and environmental aspects. Since the corridor is planned fully underground either on the edge of existing "
21,PDF page 21," 
                                                                                                       General Consultant for Mumbai METRO LINE 3 
Updated Social            Impact Assessment Report (Volume - I)   Page 2
    
road or along the median of the road, there will be no or least disruption to existing services and traffic 
movement. 
With a view to implementing Metro System in Mumbai Metropolitan Region (MMR), the master plan has 
been partly modified. The List of Corridors proposed for implementation is as follows: 
TABLE 1.1 Metro Master Plan (MMR Region) 
Line Name of Corridor Length 
(km) 
Estimated Cost 
(`In Cr.) 
1 Versova-Andheri-Ghatkopar* 11.40 2,356 
2A Dahisar - Charkop – DN Nagar (Andheri) 18.6 6410 
2B DN Nagar (Andheri)- Bandra- Mankhurd 23.60 10986 
3 Colaba-Bandra-SEEPZ** 33.50 24,430 
4 Wadala-Ghatkopar-Mulund-Thane-
Kasarwadavali 32.32 14,549 
4A Kasarwadavali-Gaimukh 2.70 949 
5 
Thane- Bhiwandi-Kalyan 
 
24.9 8417 
6 
Swami Samarth Nagar – Jogeshwari - 
Vikhroli 
 
14.5 6716 
7 Andheri East – Dahisar East 16.5 6208 
8 CSIA-NMIA (Airport Line) 35 15000 
9 Dahisar- Mira Bhayander & Andheri East to 
CSIA  13.5 6607 
10 Gaimukh- Shivaji Chowk (Mira Road) ** 9.2 4476 
11  
(Line 
4 
Extn.) 
Wadala-CSMT (Line 4 extension) ** 12.7 8739 
12 Kalyan-Taloja** 20.7 5494 
13 Shivaji Chowk-Virar 23 6900 
14 Kanjurmarg-Badlapur  45 13500 
 Total 337.10 1,41,737 
Ref: https://mmrda.maharashtra.gov.in/metro-piu and https://mmrda.maharashtra.gov.in/metro-line-1 
 Note: 
 * Project under operation under Public Private Partnership (PPP) 
** Project proposed to be implemented with Japanese Loan Assistance (JICA) 
 "
22,PDF page 22," 
                                                                                                       General Consultant for Mumbai METRO LINE 3 
Updated Social            Impact Assessment Report (Volume - I)   Page 3
    
 
 FIGURE 1.1     MUMBAI METRO MASTER PLAN 
 
"
